Mon May  2 15:44:23 2022,17,100
Tue May  3 16:45:22 2022,76,576
Tue May  3 19:47:05 2022,20,156
Tue May  3 20:25:50 2022,36,248
Tue May  3 23:16:15 2022,22,272
Wed May  4 11:15:59 2022,107,1640
Tue May 17 18:14:30 2022,19,408
Tue May 17 18:14:51 2022,17,20
Tue May 17 18:19:40 2022,8,148
Tue May 17 18:19:50 2022,20,256
Tue May 17 19:12:18 2022,11,240
Tue May 17 19:12:43 2022,10,204
Tue May 17 19:59:03 2022,2,0
