date,open,high,low,close,volume
2008-11-19,113.502,113.688,113.395,113.571,9387100
2008-11-20,113.609,113.609,112.921,113.222,10355100
2008-11-21,113.227,113.523,113.227,113.521,16705800
2008-11-24,113.563,113.563,113.137,113.389,4077800
2008-11-25,113.405,113.56,113.024,113.253,4108300
2008-11-26,113.27,113.365,113.101,113.36,6577100
2008-11-27,113.804,114.136,113.375,113.534,18399000
2008-11-28,113.556,113.625,113.365,113.563,7216900
2008-12-01,113.621,113.654,113.53,113.581,7236600
2008-12-02,113.596,113.603,113.355,113.478,8871400
2008-12-03,113.479,113.706,113.117,113.195,14813700
2008-12-04,113.194,113.488,113.105,113.309,29116800
2008-12-05,113.324,113.453,113.3,113.453,15235800
2008-12-08,113.498,113.655,113.105,113.554,13596200
2008-12-09,113.569,113.827,113.527,113.813,13237500
2008-12-10,113.832,113.898,113.632,113.665,20689900
2008-12-11,113.69,114.064,113.617,114.062,43587600
2008-12-12,114.094,114.387,114.013,114.29,21246800
2008-12-15,114.326,114.537,114.296,114.531,18357600
2008-12-16,114.555,114.768,114.3,114.757,11534700
2008-12-17,114.778,115.089,114.713,115.087,14136600
2008-12-18,115.133,115.349,114.974,115.293,21080100
2008-12-19,115.322,116.071,115.187,115.416,15779900
2008-12-22,115.473,115.473,114.829,115.082,14522800
2008-12-23,115.116,115.321,114.014,115.29,16790400
2008-12-24,115.296,115.508,115.278,115.405,11743200
2008-12-25,115.417,115.417,115.121,115.375,13542000
2008-12-26,115.392,115.532,115.253,115.494,6711900
2008-12-29,115.542,115.812,115.4,115.453,12728600
2008-12-30,115.475,115.728,114.772,115.719,9072800
2008-12-31,115.738,115.884,114.801,115.329,12762900
2009-01-05,115.416,115.684,114.996,115.682,18391900
2009-01-06,115.702,115.81,115.291,115.806,20818900
2009-01-07,115.819,115.934,115.682,115.906,16080600
2009-01-08,115.928,116.361,115.927,116.358,18646000
2009-01-09,116.38,116.601,115.711,116.599,21555700
2009-01-12,116.657,116.657,116.25,116.471,18540700
2009-01-13,116.476,116.721,116.21,116.627,15453200
2009-01-14,116.645,116.645,116.267,116.287,24192300
2009-01-15,116.308,116.677,116.276,116.287,18247300
2009-01-16,116.301,116.331,116.053,116.187,20598300
2009-01-19,116.235,116.484,116.138,116.443,10145500
2009-01-20,116.462,116.463,115.791,115.872,14921800
2009-01-21,115.896,116.417,115.148,115.689,13724100
2009-01-22,115.707,115.878,115.454,115.866,17469400
2009-01-23,115.883,115.978,115.677,115.803,16198500
2009-02-02,115.965,116.035,115.599,115.698,7845400
2009-02-03,115.711,115.724,115.339,115.557,10616200
2009-02-04,115.558,115.566,115.109,115.204,23701300
2009-02-05,115.217,115.217,114.583,115.113,20888100
2009-02-06,115.133,115.187,114.68,115.066,21030300
2009-02-09,115.103,115.406,114.997,115.401,12474500
2009-02-10,115.419,115.531,115.193,115.39,14262100
2009-02-11,115.403,115.606,115.379,115.604,16295900
2009-02-12,115.622,115.756,115.602,115.743,17703300
2009-02-13,115.76,115.99,115.567,115.839,13033100
2009-02-16,115.879,115.971,115.426,115.946,15112900
2009-02-17,115.949,116.144,115.937,116.137,15795300
2009-02-18,116.115,116.123,115.998,116.097,35461000
2009-02-19,116.113,116.29,115.93,116.186,17879900
2009-02-20,116.206,116.339,116.149,116.31,23651400
2009-02-23,116.368,116.375,116.167,116.373,13396200
2009-02-24,116.393,116.798,116.144,116.752,17537000
2009-02-25,116.767,116.806,116.662,116.773,19574100
2009-02-26,116.796,116.884,116.599,116.871,11270100
2009-02-27,116.89,116.909,116.576,116.763,18896400
2009-03-02,116.813,116.813,116.514,116.57,11815700
2009-03-03,116.593,116.713,116.377,116.705,10914200
2009-03-04,116.726,116.765,116.237,116.55,17095000
2009-03-05,116.56,117.226,116.56,116.975,11701000
2009-03-06,116.994,117.176,116.83,116.971,12524800
2009-03-09,117.024,117.359,116.917,117.174,27315900
2009-03-10,117.194,117.46,117.108,117.322,18047700
2009-03-11,117.337,117.337,116.833,116.991,18808600
2009-03-12,117.009,117.189,116.982,117.127,27373100
2009-03-13,117.138,117.288,117.124,117.221,23481800
2009-03-16,117.271,117.359,117.149,117.294,25786000
2009-03-17,117.312,117.349,117.162,117.234,28444700
2009-03-18,117.251,117.336,117.032,117.334,32493400
2009-03-19,117.353,117.856,117.13,117.853,19394300
2009-03-20,117.869,117.869,117.018,117.689,17631800
2009-03-23,117.727,117.727,117.556,117.69,15193800
2009-03-24,117.961,118.021,117.902,118.007,34651500
2009-03-25,117.727,117.764,117.426,117.511,13065700
2009-03-26,117.525,117.569,117.336,117.355,24841800
2009-03-27,117.363,117.416,117.134,117.218,22158900
2009-03-30,117.27,117.408,116.978,117.395,19107700
2009-03-31,117.414,117.51,117.268,117.298,24452300
2009-04-01,117.318,117.442,117.092,117.383,19862000
2009-04-02,117.4,117.587,117.359,117.431,21807600
2009-04-03,117.45,117.596,117.327,117.49,15789900
2009-04-07,117.56,117.579,117.316,117.577,21361500
2009-04-08,117.6,117.603,117.434,117.514,16293400
2009-04-09,117.529,117.579,117.331,117.42,35128400
2009-04-10,117.437,117.536,117.052,117.38,25638000
2009-04-13,117.428,117.428,117.025,117.33,23852800
2009-04-14,117.345,117.357,117.264,117.292,16245500
2009-04-15,117.308,117.54,117.233,117.538,18270400
2009-04-16,117.556,117.572,117.204,117.303,14672700
2009-04-17,117.321,117.417,117.175,117.402,10138100
2009-04-20,117.454,117.488,117.279,117.488,9923200
2009-04-21,117.506,117.517,117.461,117.513,6978200
2009-04-22,117.531,117.543,117.349,117.542,8487700
2009-04-23,117.558,117.812,117.537,117.557,12951000
2009-04-24,117.575,117.684,117.548,117.678,15085300
2009-04-27,117.729,117.814,117.331,117.804,11458600
2009-04-28,117.822,117.93,117.756,117.91,20422900
2009-04-29,117.928,117.937,117.682,117.785,9418600
2009-04-30,117.801,118.023,117.797,117.857,18858000
2009-05-04,117.917,117.922,117.749,117.787,15404200
2009-05-05,117.802,117.802,117.724,117.797,11722000
2009-05-06,117.813,117.891,117.402,117.889,13475800
2009-05-07,117.905,117.933,117.757,117.885,12675500
2009-05-08,117.901,117.948,117.793,117.874,15114600
2009-05-11,117.918,117.994,117.117,117.135,14516200
2009-05-12,117.15,118.051,117.106,118.05,23314400
2009-05-13,118.069,118.094,118.004,118.049,10177900
2009-05-14,118.065,118.111,118.041,118.108,16514500
2009-05-15,118.125,118.242,117.929,118.208,15949100
2009-05-18,118.258,118.374,118.211,118.358,18452600
2009-05-19,118.374,118.412,118.237,118.381,19289300
2009-05-20,118.396,118.493,118.377,118.47,30229900
2009-05-21,118.496,118.549,118.401,118.458,23470000
2009-05-22,118.469,118.503,118.281,118.418,24794600
2009-05-25,118.46,118.463,117.59,118.363,44635400
2009-05-26,118.38,118.463,118.039,118.463,31917100
2009-05-27,118.479,118.548,117.869,118.543,39122800
2009-06-01,118.621,118.631,118.427,118.515,20977300
2009-06-02,118.53,118.573,118.348,118.553,16123000
2009-06-03,118.57,118.57,118.186,118.256,31136300
2009-06-04,118.272,118.285,118.112,118.189,29794400
2009-06-05,118.205,118.206,118.133,118.193,19277700
2009-06-08,118.242,118.242,118.055,118.116,25333200
2009-06-09,118.124,118.124,117.968,117.994,31277300
2009-06-10,118.008,118.01,117.931,117.989,23575900
2009-06-11,118.006,118.032,117.931,118.011,14753100
2009-06-12,118.028,118.058,117.816,117.926,20987200
2009-06-15,117.977,117.979,117.761,117.855,29594600
2009-06-16,117.871,117.944,117.837,117.875,23059600
2009-06-17,117.896,117.999,117.386,117.975,14131800
2009-06-18,117.992,118.0,117.355,117.942,15884400
2009-06-19,117.96,117.961,117.836,117.914,31936700
2009-06-22,117.963,118.004,117.866,117.885,39342500
2009-06-23,117.901,117.901,117.756,117.756,25504300
2009-06-24,117.768,117.822,117.556,117.662,23829700
2009-06-25,117.676,117.678,117.428,117.647,15471000
2009-06-26,117.597,117.599,117.431,117.56,22847200
2009-06-29,117.604,117.673,117.16,117.651,20276400
2009-06-30,117.668,117.832,117.607,117.827,20897600
2009-07-01,117.844,117.962,117.828,117.912,28759900
2009-07-02,117.949,118.028,117.846,117.956,43158900
2009-07-03,117.969,118.056,117.8,117.992,36993500
2009-07-06,118.044,118.044,117.783,117.927,16198200
2009-07-07,117.944,117.987,117.883,117.94,21029900
2009-07-08,117.957,117.957,117.803,117.95,17709400
2009-07-09,117.966,118.029,117.71,117.836,11154500
2009-07-10,117.853,117.947,117.755,117.912,10521900
2009-07-13,117.97,117.97,117.53,117.637,18218400
2009-07-14,117.653,117.675,117.378,117.436,11294200
2009-07-15,117.447,117.556,117.366,117.459,14955600
2009-07-16,117.363,117.575,117.363,117.559,9081400
2009-07-17,117.576,117.589,117.285,117.439,8156700
