date,open,high,low,close,volume
2013-04-01,145.037,145.12,145.036,145.117,24188900
2013-04-02,145.136,145.228,145.135,145.22,29023500
2013-04-03,145.239,145.335,145.237,145.333,35418200
2013-04-08,145.429,145.48,145.376,145.436,20386700
2013-04-09,145.455,145.564,145.451,145.556,24778700
2013-04-10,145.575,145.693,145.537,145.69,38500500
2013-04-11,145.71,145.786,145.68,145.687,51147700
2013-04-12,145.706,145.768,145.704,145.74,19059900
2013-04-15,145.797,145.889,145.791,145.871,20281600
2013-04-16,145.891,145.953,145.891,145.925,35306800
2013-04-17,145.944,145.972,145.921,145.968,30587800
2013-04-18,145.987,145.987,145.922,145.941,97573500
2013-04-19,145.959,145.971,145.893,145.931,32655600
2013-04-22,145.989,145.989,145.83,145.863,66810900
2013-04-23,145.882,145.886,145.731,145.778,91887700
2013-04-24,145.796,145.88,145.771,145.863,50576800
2013-04-25,145.882,145.969,145.848,145.969,106862100
2013-04-26,145.988,146.031,145.974,146.011,65737000
2013-05-02,146.124,146.163,146.043,146.154,44317500
2013-05-03,146.173,146.241,146.173,146.24,58823800
2013-05-06,146.298,146.328,146.255,146.303,47852300
2013-05-07,146.321,146.388,146.315,146.385,68456300
2013-05-08,146.404,146.442,146.365,146.426,97870700
2013-05-09,146.445,146.568,146.445,146.549,56824200
2013-05-10,146.569,146.625,146.566,146.616,89811700
2013-05-13,146.673,146.749,146.661,146.735,147949400
2013-05-14,146.754,146.849,146.752,146.832,85177000
2013-05-15,146.851,146.882,146.761,146.878,55983000
2013-05-16,146.899,146.935,146.887,146.914,42462700
2013-05-17,146.933,147.0,146.928,146.953,36456900
2013-05-20,147.01,147.048,146.961,147.023,39114200
2013-05-21,147.042,147.086,147.042,147.063,43593100
2013-05-22,147.084,147.115,147.07,147.102,39294600
2013-05-23,147.122,147.122,147.081,147.111,27398800
2013-05-24,147.13,147.184,147.13,147.167,31600100
2013-05-27,147.224,147.261,147.209,147.258,42994700
2013-05-28,147.278,147.292,147.267,147.288,34888000
2013-05-29,147.307,147.361,147.303,147.36,65551600
2013-05-30,147.379,147.379,147.312,147.338,24467200
2013-05-31,147.357,147.425,147.357,147.423,28495700
2013-06-03,147.481,147.499,147.457,147.486,34797400
2013-06-04,147.505,147.527,147.48,147.525,36965800
2013-06-05,147.544,147.556,147.532,147.535,30867000
2013-06-06,147.554,147.567,147.536,147.545,41802800
2013-06-07,147.563,147.603,147.56,147.599,32287100
2013-06-13,147.713,147.714,147.641,147.674,17885400
2013-06-14,147.694,147.781,147.667,147.69,30454400
2013-06-17,147.75,147.75,147.707,147.744,35398100
2013-06-18,147.763,147.764,147.74,147.763,37244900
2013-06-19,147.782,147.795,147.7,147.743,43339300
2013-06-20,147.762,147.762,147.594,147.675,33358800
2013-06-21,147.688,147.694,147.6,147.625,24642000
2013-06-24,147.683,147.683,147.463,147.587,13021700
2013-06-25,147.606,147.607,147.388,147.577,15339200
2013-06-26,147.596,147.643,147.582,147.619,29916300
2013-06-27,147.638,147.76,147.589,147.665,38968800
2013-06-28,147.684,147.783,147.596,147.757,32059600
2013-07-01,147.815,147.817,147.741,147.753,45023600
2013-07-02,147.772,147.837,147.768,147.813,70397900
2013-07-03,147.833,147.922,147.826,147.904,60852500
2013-07-04,147.923,147.943,147.906,147.941,61890700
2013-07-05,147.96,147.978,147.941,147.978,57062100
2013-07-08,148.036,148.036,148.013,148.025,51209700
2013-07-09,148.045,148.055,147.966,147.981,25536600
2013-07-10,148.0,148.012,147.966,147.982,47046400
2013-07-11,148.001,148.017,147.983,147.998,38917800
2013-07-12,148.017,148.017,147.905,147.974,39477300
2013-07-15,148.032,148.06,148.007,148.035,33167800
2013-07-16,148.055,148.064,148.024,148.058,31988900
2013-07-17,148.077,148.077,148.003,148.013,64575800
2013-07-18,148.032,148.049,147.94,148.01,27887500
2013-07-19,148.03,148.036,147.918,147.929,21104300
2013-07-22,147.986,147.986,147.941,147.964,32676200
2013-07-23,147.984,147.993,147.961,147.985,24996700
2013-07-24,148.004,148.004,147.95,147.991,21678500
2013-07-25,148.01,148.012,147.877,147.964,49931200
2013-07-26,148.003,148.024,147.951,147.992,41420200
2013-07-29,148.05,148.058,147.936,147.982,16004100
2013-07-30,148.001,148.001,147.918,147.934,38390900
2013-07-31,147.953,147.977,147.868,147.966,44095500
2013-08-01,147.985,147.993,147.967,147.992,57814600
2013-08-02,148.011,148.054,147.99,148.05,50001700
2013-08-05,148.109,148.109,147.996,148.023,72935300
2013-08-06,148.042,148.042,147.751,147.815,29113800
2013-08-07,147.834,147.853,147.81,147.839,30679800
2013-08-08,147.858,147.867,147.721,147.77,24716700
2013-08-09,147.79,147.82,147.751,147.818,33723800
2013-08-12,147.876,147.876,147.716,147.769,75562200
2013-08-13,147.788,147.79,147.686,147.703,41179800
2013-08-14,147.723,147.762,147.684,147.697,48058500
2013-08-15,147.717,147.723,147.618,147.662,52649300
2013-08-16,147.681,147.682,147.626,147.666,21909500
2013-08-19,147.724,147.728,147.611,147.674,50058200
2013-08-20,147.693,147.737,147.616,147.713,18856100
2013-08-21,147.733,147.761,147.718,147.741,64301200
2013-08-22,147.76,147.763,147.682,147.718,43123900
2013-08-23,147.738,147.745,147.688,147.722,19687000
2013-08-26,147.78,147.789,147.734,147.783,39236700
2013-08-27,147.802,147.802,147.693,147.772,43796900
2013-08-28,147.791,147.796,147.765,147.782,41811500
2013-08-29,147.802,147.842,147.796,147.832,64665000
2013-08-30,147.851,147.897,147.832,147.88,57048200
2013-09-02,147.939,147.945,147.868,147.927,20011000
2013-09-03,147.945,147.945,147.864,147.892,16945600
2013-09-04,147.912,147.92,147.789,147.913,45046700
2013-09-05,147.932,147.937,147.895,147.923,37259900
2013-09-06,147.942,147.95,147.797,147.914,46528900
2013-09-09,147.973,147.993,147.894,147.97,70549900
2013-09-10,147.99,147.992,147.859,147.972,70772500
2013-09-11,147.991,148.005,147.825,147.925,30884400
2013-09-12,147.945,147.978,147.912,147.971,32379500
2013-09-13,147.99,147.99,147.916,147.974,23861800
2013-09-16,148.031,148.038,147.972,148.035,17342100
2013-09-17,148.055,148.055,147.978,148.035,17177300
2013-09-18,148.054,148.124,148.034,148.102,27164700
2013-09-23,148.205,148.205,148.129,148.183,38150000
2013-09-24,148.203,148.203,148.16,148.181,29545300
2013-09-25,148.2,148.207,148.141,148.18,45881700
2013-09-26,148.2,148.247,148.194,148.242,17800700
2013-09-27,148.261,148.277,148.2,148.259,21457400
2013-09-30,148.319,148.356,148.224,148.353,6343200
2013-10-08,148.508,148.522,148.458,148.489,11108200
2013-10-09,148.509,148.514,148.426,148.49,24941500
