date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,123.82,124.47,123.18,123.61,12800013.0,74039171.0,2420792222.0,0.005287530620626721
2020-01-03,123.61,124.04,122.75,122.75,11823708.0,68000242.0,2420792222.0,0.004884230828464716
2020-01-06,122.75,123.61,121.9,122.54,11567826.0,66252980.0,2420792222.0,0.004778529067828441
2020-01-07,122.54,124.68,122.54,124.68,11611533.0,67075976.0,2420792222.0,0.004796583901119292
2020-01-08,124.04,124.25,122.75,122.97,11154315.0,64159502.0,2420792222.0,0.004607712672996187
2020-01-09,123.4,124.47,122.97,123.61,7369252.0,42535383.0,2420792222.0,0.0030441489083733514
2020-01-10,123.82,124.04,122.32,122.97,6022211.0,34559965.0,2420792222.0,0.002487702556737643
2020-01-13,122.75,123.61,121.68,123.4,5558649.0,31802706.0,2420792222.0,0.002296210698912267
2020-01-14,123.61,124.47,123.4,123.61,6837380.0,39520684.0,2420792222.0,0.00282443901540262
2020-01-15,123.61,123.61,122.11,122.54,4324873.0,24783222.0,2420792222.0,0.0017865527494246882
2020-01-16,122.75,122.75,121.68,122.11,4064130.0,23152631.0,2420792222.0,0.0016788429684569599
2020-01-17,122.11,122.54,121.25,121.25,4269095.0,24256151.0,2420792222.0,0.001763511531969884
2020-01-20,121.47,121.47,120.61,121.25,4502266.0,25445125.0,2420792222.0,0.001859831653077742
2020-01-21,121.25,121.47,119.11,119.97,8318723.0,46519956.0,2420792222.0,0.00343636389955321
2020-01-22,119.32,120.18,118.04,119.97,4955437.0,27540989.0,2420792222.0,0.0020470311144282914
2020-01-23,119.11,119.54,115.68,117.4,9047404.0,49629731.0,2420792222.0,0.0037373732110413233
2020-02-03,105.61,105.61,105.61,105.61,7113000.0,35067090.0,2420792222.0,0.0029382943052103047
2020-02-04,97.9,104.76,97.69,104.33,21742264.0,103301870.0,2420792222.0,0.008981466398647409
2020-02-05,103.26,105.61,102.83,104.33,11028165.0,53804084.0,2420792222.0,0.004555601633125208
2020-02-06,104.76,105.4,103.26,104.76,9482180.0,46158346.0,2420792222.0,0.003916973920283853
2020-02-07,104.76,104.76,103.47,104.76,7445021.0,36203389.0,2420792222.0,0.0030754481662408446
2020-02-10,104.54,106.26,103.26,106.04,9118565.0,44792112.0,2420792222.0,0.0037667689598186423
2020-02-11,106.04,107.33,105.4,106.04,9759454.0,48423938.0,2420792222.0,0.0040315124574949995
2020-02-12,106.26,106.47,105.61,106.26,5790728.0,28668075.0,2420792222.0,0.002392079728022193
2020-02-13,106.04,107.11,105.4,105.83,8448718.0,41903363.0,2420792222.0,0.003490063262438886
2020-02-14,106.04,113.11,105.4,109.9,18747889.0,95166681.0,2420792222.0,0.007744526287560089
2020-02-17,109.68,111.4,109.04,110.97,15025316.0,77500251.0,2420792222.0,0.00620677638644528
2020-02-18,111.18,112.04,109.9,110.54,10428810.0,53946554.0,2420792222.0,0.00430801532871085
2020-02-19,110.76,111.83,110.11,110.54,8312823.0,43024483.0,2420792222.0,0.003433926680883065
2020-02-20,110.97,113.54,108.83,112.68,17178657.0,89188715.0,2420792222.0,0.0070962955200704544
2020-02-21,112.47,115.04,111.61,114.61,15684163.0,82989559.0,2420792222.0,0.006478938116812901
2020-02-24,114.4,114.4,112.47,113.11,11037322.0,58312817.0,2420792222.0,0.004559384279118854
2020-02-25,110.97,114.83,110.54,113.75,14634429.0,77284128.0,2420792222.0,0.006045305692493257
2020-02-26,113.33,119.75,112.04,116.33,23786585.0,129348618.0,2420792222.0,0.009825950688303227
2020-02-27,116.33,117.18,114.61,115.47,9722263.0,52556002.0,2420792222.0,0.0040161493050269725
2020-02-28,113.11,115.04,109.47,111.18,14024403.0,73243478.0,2420792222.0,0.005793311326989219
2020-03-02,111.18,116.33,110.54,116.33,13404473.0,71506247.0,2420792222.0,0.005537225738822619
2020-03-03,117.4,120.82,116.75,118.47,20030107.0,110546324.0,2420792222.0,0.00827419504159329
2020-03-04,119.11,127.89,117.61,127.68,33110573.0,189705672.0,2420792222.0,0.013677577405897662
2020-03-05,128.32,130.04,125.32,128.96,25638202.0,153016715.0,2420792222.0,0.010590831285313011
2020-03-06,127.47,140.53,127.25,138.18,57384431.0,359725607.0,2420792222.0,0.023704814679464878
2020-03-09,139.25,139.25,129.61,131.75,33131273.0,207221572.0,2420792222.0,0.01368612832563868
2020-03-10,130.25,132.82,125.97,131.96,26075561.0,157785964.0,2420792222.0,0.010771499000627573
2020-03-11,132.82,133.89,128.11,130.04,18257197.0,111164304.0,2420792222.0,0.007541827354731149
2020-03-12,128.54,129.61,123.4,125.97,17410629.0,102347811.0,2420792222.0,0.0071921203487739895
2020-03-13,119.75,123.82,118.47,122.97,18105034.0,102365317.0,2420792222.0,0.007478970659052291
