date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,21.4,22.12,21.4,22.09,49981432.0,299246839.0,2276604962.0,0.021954371897745167
2020-01-03,21.98,22.31,21.94,21.98,36031590.0,218686400.0,2276604962.0,0.015826896014645514
2020-01-06,21.98,22.53,21.69,22.12,62850513.0,381347755.0,2276604962.0,0.02760712290848464
2020-01-07,22.16,22.49,21.94,22.31,38522548.0,235647330.0,2276604962.0,0.016921050706205042
2020-01-08,22.27,22.45,21.83,21.98,55562490.0,338900863.0,2276604962.0,0.0244058547387107
2020-01-09,22.09,24.16,21.98,24.16,85550796.0,544517240.0,2276604962.0,0.037578234883949097
2020-01-10,24.24,24.6,22.93,23.14,74660067.0,481921965.0,2276604962.0,0.0327944760932134
2020-01-13,23.14,23.58,22.27,22.74,68273717.0,428069753.0,2276604962.0,0.029989268291860993
2020-01-14,22.67,23.03,22.49,22.53,50242160.0,312721323.0,2276604962.0,0.022068896817242376
2020-01-15,22.56,22.89,22.12,22.6,48918441.0,302284202.0,2276604962.0,0.021487452507801395
2020-01-16,22.56,22.89,22.2,22.2,43217840.0,266409275.0,2276604962.0,0.018983460337375826
2020-01-17,22.16,22.63,22.05,22.31,41012483.0,251736551.0,2276604962.0,0.01801475604444369
2020-01-20,22.31,23.03,22.05,22.74,54277683.0,336416841.0,2276604962.0,0.023841502546984257
2020-01-21,22.63,23.47,22.53,22.6,59862423.0,377062744.0,2276604962.0,0.026294602708504505
2020-01-22,22.6,23.51,22.45,23.33,77019489.0,489234685.0,2276604962.0,0.0338308535233703
2020-01-23,23.43,23.73,22.2,22.6,48951963.0,306273763.0,2276604962.0,0.021502177065008083
2020-02-03,20.45,21.83,20.34,20.38,56480199.0,319467232.0,2276604962.0,0.024808958929080995
2020-02-04,20.38,21.32,20.31,21.0,38411040.0,220190180.0,2276604962.0,0.016872070754978877
2020-02-05,21.0,21.72,20.74,21.25,57889683.0,336437574.0,2276604962.0,0.02542807556263246
2020-02-06,21.11,21.58,20.89,21.32,53992575.0,314112235.0,2276604962.0,0.02371626869888198
2020-02-07,21.32,21.4,21.03,21.11,47984494.0,279259270.0,2276604962.0,0.021077215766869616
2020-02-10,21.22,23.22,21.14,23.22,99499718.0,609026152.0,2276604962.0,0.043705306656535346
2020-02-11,23.22,24.74,22.53,23.91,131035452.0,860298581.0,2276604962.0,0.05755739541430377
2020-02-12,23.54,25.33,23.36,24.34,102870253.0,685461324.0,2276604962.0,0.045185816036185905
