date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,47.86,48.97,47.65,48.55,25009211.0,229817166.0,1391777884.0,0.01796925449635899
2020-01-03,48.7,49.28,48.18,49.23,20642913.0,191639080.0,1391777884.0,0.014832045570857771
2020-01-06,48.86,50.07,48.55,49.81,22340907.0,210564059.0,1391777884.0,0.016052063520216132
2020-01-07,49.76,52.28,49.7,51.91,35506844.0,344429007.0,1391777884.0,0.025511861057852532
2020-01-08,51.49,52.28,50.33,50.39,25460100.0,247729887.0,1391777884.0,0.01829322070187458
2020-01-09,51.12,51.28,49.7,50.39,20819722.0,199463267.0,1391777884.0,0.014959083801621897
2020-01-10,50.44,50.6,49.54,49.97,14449304.0,137144434.0,1391777884.0,0.01038190372624142
2020-01-13,49.81,50.33,49.54,50.33,12811003.0,121717578.0,1391777884.0,0.009204775522931072
2020-01-14,50.44,51.7,50.28,51.23,25680850.0,249832074.0,1391777884.0,0.01845183078077996
2020-01-15,51.23,51.86,50.6,50.86,17142916.0,166516288.0,1391777884.0,0.012317278638406644
2020-01-16,50.81,51.07,49.86,49.97,11704732.0,112034220.0,1391777884.0,0.008409913776155391
2020-01-17,50.12,51.81,49.86,51.39,20966709.0,203503208.0,1391777884.0,0.015064694762745634
2020-01-20,51.39,53.38,51.12,51.65,21253826.0,209716623.0,1391777884.0,0.015270989893097052
2020-01-21,51.07,51.12,50.02,50.39,12224085.0,117313049.0,1391777884.0,0.008783071739053442
2020-01-22,50.07,50.7,49.18,50.44,12417739.0,117782398.0,1391777884.0,0.00892221319418523
2020-01-23,49.97,49.97,47.55,48.02,17229622.0,159246535.0,1391777884.0,0.01237957737227559
2020-02-03,43.23,43.92,43.23,43.23,12747700.0,104863634.0,1391777884.0,0.009159291972195184
2020-02-04,42.55,44.13,42.34,43.71,18588596.0,153753821.0,1391777884.0,0.013356007602718883
2020-02-05,43.71,45.34,43.34,44.6,15719263.0,132837462.0,1391777884.0,0.011294376193723164
2020-02-06,44.92,47.81,44.39,47.49,23770677.0,209125982.0,1391777884.0,0.017079361062759927
2020-02-07,48.6,49.86,47.23,47.97,36299942.0,332898818.0,1391777884.0,0.02608170629617506
2020-02-10,48.33,49.23,47.02,47.55,22524493.0,205475896.0,1391777884.0,0.016183971062440017
2020-02-11,47.7,49.6,47.02,47.86,22560708.0,206757642.0,1391777884.0,0.016209991737445945
2020-02-12,47.76,48.55,47.18,48.33,20737514.0,188197293.0,1391777884.0,0.014900016905283716
2020-02-13,48.02,48.12,46.91,47.02,13871677.0,125024645.0,1391777884.0,0.009966875576534164
2020-02-14,47.02,47.28,46.55,46.97,13523689.0,120640385.0,1391777884.0,0.00971684430071027
2020-02-17,47.02,48.81,46.86,48.6,19641351.0,179339271.0,1391777884.0,0.014112417811634087
2020-02-18,49.91,53.44,48.91,53.44,71124050.0,704457765.0,1391777884.0,0.05110301781458686
2020-02-19,53.7,54.44,52.28,52.38,50575939.0,509919590.0,1391777884.0,0.03633908799775123
2020-02-20,52.54,53.12,51.49,52.75,36267615.0,361810503.0,1391777884.0,0.026058479170373138
2020-02-21,52.17,54.12,51.96,52.54,35534358.0,357964504.0,1391777884.0,0.02553163001690577
2020-02-24,52.49,55.01,51.81,54.23,38100531.0,388715936.0,1391777884.0,0.027375439312556284
2020-02-25,53.02,53.8,51.81,53.7,32884898.0,331488096.0,1391777884.0,0.02362797855753253
2020-02-26,56.38,57.49,53.96,54.59,62314670.0,659912013.0,1391777884.0,0.04477343024082713
2020-02-27,54.96,55.44,52.49,52.91,32339717.0,328743587.0,1391777884.0,0.023236263035776188
2020-02-28,50.86,51.86,49.86,49.91,24871428.0,240109371.0,1391777884.0,0.017870256659431153
2020-03-02,50.33,52.91,50.33,52.86,25520123.0,251511900.0,1391777884.0,0.018336347554722316
2020-03-03,55.75,57.22,54.12,54.91,55897606.0,593296020.0,1391777884.0,0.04016273476005314
2020-03-04,53.8,54.8,52.91,53.75,26069305.0,266633912.0,1391777884.0,0.018730937816798934
2020-03-05,54.65,54.91,53.23,54.07,28621206.0,293720322.0,1391777884.0,0.020564492602614167
2020-03-06,53.12,53.38,52.38,52.49,24787299.0,248814294.0,1391777884.0,0.017809809514116405
2020-03-09,51.54,51.75,49.97,50.33,20991370.0,202904081.0,1391777884.0,0.015082413825739452
2020-03-10,49.7,51.65,49.39,51.54,20838624.0,200711688.0,1391777884.0,0.014972664991707829
2020-03-11,51.44,52.07,50.81,50.81,16321485.0,159794372.0,1391777884.0,0.011727075985064296
2020-03-12,50.23,50.7,49.23,49.44,16898009.0,160282016.0,1391777884.0,0.012141311623256114
2020-03-13,46.81,49.39,46.39,48.81,18537654.0,168273791.0,1391777884.0,0.013319405497896243
2020-03-16,48.91,49.07,46.91,46.97,17807673.0,162165552.0,1391777884.0,0.012794910168295216
2020-03-17,47.39,48.02,45.92,46.97,12179020.0,108584524.0,1391777884.0,0.008750692290782227
2020-03-18,47.49,47.86,45.76,45.81,14745707.0,131479155.0,1391777884.0,0.010594870898235943
2020-03-19,45.65,47.07,45.39,46.81,13341900.0,117019206.0,1391777884.0,0.009586227912786693
2020-03-20,47.13,47.49,46.55,47.39,9256142.0,82864142.0,1391777884.0,0.006650588507267874
2020-03-23,46.34,46.91,45.34,45.92,8570506.0,75173694.0,1391777884.0,0.006157955302011395
2020-03-24,46.55,47.13,46.02,47.07,8231989.0,73021024.0,1391777884.0,0.00591472899133954
2020-03-25,48.02,48.23,47.18,47.55,11287300.0,102150854.0,1391777884.0,0.008109986607604407
2020-03-26,47.07,47.44,46.6,46.65,8222341.0,73533593.0,1391777884.0,0.005907796850722195
2020-03-27,46.91,47.23,46.44,46.49,7534593.0,67152081.0,1391777884.0,0.00541364616194749
2020-03-30,45.97,45.97,44.92,45.6,8014241.0,69201370.0,1391777884.0,0.005758275865806185
2020-03-31,46.07,46.07,45.34,45.6,5295374.0,46000812.0,1391777884.0,0.0038047550984076422
2020-04-01,45.34,46.02,45.18,45.44,5573891.0,48365324.0,1391777884.0,0.0040048710818571965
2020-04-02,45.18,46.23,44.97,46.23,6164400.0,53623400.0,1391777884.0,0.004429155018819081
2020-04-03,46.02,46.07,45.39,45.65,6274700.0,54501479.0,1391777884.0,0.004508406170362742
2020-04-07,46.28,46.86,46.13,46.65,7855534.0,69522163.0,1391777884.0,0.005644244020765026
2020-04-08,46.65,47.34,46.44,46.97,7602503.0,67696211.0,1391777884.0,0.005462439867308597
2020-04-09,47.34,47.76,46.97,47.39,9970457.0,89757809.0,1391777884.0,0.0071638277304311585
2020-04-10,47.44,47.44,46.07,46.28,8371609.0,74148522.0,1391777884.0,0.0060150467227858325
2020-04-13,46.34,46.34,45.55,45.65,5344900.0,46559767.0,1391777884.0,0.0038403397995078357
2020-04-14,45.76,46.44,45.76,46.28,5887557.0,51621589.0,1391777884.0,0.004230241813499028
2020-04-15,46.39,46.55,45.86,45.92,5076748.0,44577461.0,1391777884.0,0.0036476711250859337
2020-04-16,45.76,46.44,45.6,46.28,5754566.0,50434521.0,1391777884.0,0.004134687054705347
2020-04-17,46.44,46.81,46.07,46.07,6400163.0,56537457.0,1391777884.0,0.004598552020100932
2020-04-20,46.23,46.44,46.02,46.13,5646189.0,49523996.0,1391777884.0,0.004056817589149161
2020-04-21,46.07,46.07,45.44,45.92,4987458.0,43360753.0,1391777884.0,0.0035835157731246145
2020-04-22,45.39,46.02,45.28,45.92,6068100.0,52828965.0,1391777884.0,0.004359962943627289
2020-04-23,46.07,46.07,45.44,45.55,6639173.0,57669993.0,1391777884.0,0.004770282008590963
2020-04-24,45.6,46.13,44.97,45.13,7146210.0,61885716.0,1391777884.0,0.005134590858321183
2020-04-27,45.23,46.13,45.23,45.39,6986317.0,60704295.0,1391777884.0,0.0050197068658119305
2020-04-28,45.23,45.65,43.55,44.23,9248571.0,78260154.0,1391777884.0,0.006645148702477874
2020-04-29,43.65,44.07,42.65,43.18,17986559.0,148121506.0,1391777884.0,0.012923440734886688
2020-04-30,43.55,44.44,43.34,44.39,11091307.0,92703663.0,1391777884.0,0.007969164568216404
2020-05-06,44.07,44.97,43.92,44.92,7802301.0,65948458.0,1391777884.0,0.005605995819947948
2020-05-07,44.92,44.97,44.5,44.71,5288494.0,44912432.0,1391777884.0,0.003799811780886152
2020-05-08,44.76,46.81,44.76,46.81,17301247.0,151311655.0,1391777884.0,0.01243104032539721
2020-05-11,47.76,49.91,47.49,48.6,29212797.0,270455682.0,1391777884.0,0.02098955396247696
2020-05-12,48.39,50.18,48.39,49.54,20741621.0,194991674.0,1391777884.0,0.014902967807182083
2020-05-13,49.44,49.91,48.91,49.44,11320792.0,106376223.0,1391777884.0,0.008134050792259895
2020-05-14,49.81,50.07,48.91,49.49,12548451.0,118099818.0,1391777884.0,0.009016130479049917
2020-05-15,49.6,50.6,49.28,50.12,12484870.0,118671419.0,1391777884.0,0.0089704471837979
2020-05-18,51.28,51.28,49.23,50.28,13161144.0,125551400.0,1391777884.0,0.009456353740996792
2020-05-19,50.81,53.75,50.75,51.65,26317112.0,261090059.0,1391777884.0,0.01890898849776521
2020-05-20,51.96,53.54,51.44,53.28,28827159.0,286329658.0,1391777884.0,0.020712470956321075
2020-05-21,53.28,55.49,51.49,51.81,30991790.0,313701233.0,1391777884.0,0.022267770135079974
2020-05-22,51.02,52.28,49.18,49.91,24847896.0,238562179.0,1391777884.0,0.01785334878909457
2020-05-25,49.97,51.7,49.81,50.6,16565326.0,159534165.0,1391777884.0,0.011902277073401175
2020-05-26,50.65,55.01,50.65,54.17,43298543.0,438656305.0,1391777884.0,0.0311102392829803
2020-06-02,59.59,59.59,59.59,59.59,968905.0,10977694.0,1391777884.0,0.0006961635266220397
2020-06-03,65.53,65.53,65.53,65.53,1668801.0,20793260.0,1391777884.0,0.001199042619648352
2020-06-04,70.58,71.27,65.27,67.58,139446348.0,1825005988.0,1391777884.0,0.10019296153724483
2020-06-05,68.9,74.37,68.9,74.37,121482718.0,1688374275.0,1391777884.0,0.08728599541390615
2020-06-08,74.16,74.16,67.22,67.9,108430153.0,1436463272.0,1391777884.0,0.07790765627656719
2020-06-09,69.16,70.32,66.06,68.69,60344488.0,781732124.0,1391777884.0,0.04335784372903572
