date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,3.61,3.68,3.6,3.65,25280341.0,83389528.0,4391629404.0,0.0057564832262426485
2020-01-03,3.66,3.69,3.64,3.65,23842306.0,78830668.0,4391629404.0,0.005429034148073574
2020-01-06,3.67,3.69,3.64,3.69,32909856.0,109336828.0,4391629404.0,0.0074937689346065775
2020-01-07,3.68,3.72,3.67,3.7,22882276.0,76515340.0,4391629404.0,0.005210429636698917
2020-01-08,3.7,3.76,3.64,3.64,29597139.0,99078472.0,4391629404.0,0.006739443672784007
2020-01-09,3.68,3.69,3.65,3.68,16119105.0,53565665.0,4391629404.0,0.0036704155831815723
2020-01-10,3.68,3.69,3.6,3.64,19292740.0,63598127.0,4391629404.0,0.004393071050673747
2020-01-13,3.65,3.67,3.6,3.67,14364440.0,47255172.0,4391629404.0,0.0032708679805533063
2020-01-14,3.66,3.69,3.65,3.65,12901200.0,42793438.0,4391629404.0,0.0029376795747494727
2020-01-15,3.65,3.67,3.59,3.6,13545300.0,44442106.0,4391629404.0,0.003084344955806749
2020-01-16,3.61,3.65,3.58,3.59,15863503.0,51858144.0,4391629404.0,0.0036122134954172467
2020-01-17,3.59,3.62,3.56,3.58,12331753.0,40109818.0,4391629404.0,0.002808013123504444
2020-01-20,3.64,3.7,3.62,3.69,30938945.0,102893780.0,4391629404.0,0.007044980838278403
2020-01-21,3.77,4.06,3.7,4.06,91846912.0,322890904.0,4391629404.0,0.020914085308824933
2020-01-22,3.92,4.0,3.76,3.79,88760295.0,309392499.0,4391629404.0,0.02021124435480713
2020-01-23,3.93,4.14,3.9,4.07,136921618.0,499466850.0,4391629404.0,0.031177862566292264
2020-02-03,4.48,4.48,4.21,4.48,168575347.0,674492826.0,4391629404.0,0.03838560395065613
2020-02-04,4.48,4.81,4.21,4.56,181714544.0,741898660.0,4391629404.0,0.04137747685050339
2020-02-05,4.52,4.91,4.41,4.78,165123554.0,694578138.0,4391629404.0,0.03759961026073866
2020-02-06,4.75,5.14,4.69,4.98,169837697.0,768794781.0,4391629404.0,0.038673048514819536
2020-02-07,4.93,5.15,4.74,4.8,149575196.0,669304878.0,4391629404.0,0.034059157146494046
2020-02-10,4.82,4.98,4.42,4.53,128187189.0,537939487.0,4391629404.0,0.029188981402493586
2020-02-11,4.53,4.54,4.2,4.31,101180570.0,397138702.0,4391629404.0,0.02303941446148492
2020-02-12,4.24,4.34,4.19,4.29,69178390.0,267011248.0,4391629404.0,0.01575232872268108
2020-02-13,4.29,4.33,4.19,4.21,51246491.0,196744351.0,4391629404.0,0.01166912921962939
2020-02-14,4.2,4.25,4.12,4.15,48267074.0,182452420.0,4391629404.0,0.010990698339900268
2020-02-17,4.31,4.36,4.24,4.32,69723879.0,272053244.0,4391629404.0,0.01587653979556969
2020-02-18,4.3,4.66,4.27,4.59,114600477.0,466589960.0,4391629404.0,0.026095206689257334
2020-02-19,4.64,4.64,4.42,4.43,74626913.0,305053119.0,4391629404.0,0.016992989647994443
2020-02-20,4.41,4.54,4.4,4.48,58307840.0,234979059.0,4391629404.0,0.013277040168027802
2020-02-21,4.49,4.52,4.43,4.46,48646573.0,196189021.0,4391629404.0,0.011077112507647287
2020-02-24,4.59,4.9,4.56,4.83,133002956.0,571608242.0,4391629404.0,0.03028556004267067
2020-02-25,4.85,5.14,4.76,4.96,168226250.0,752400888.0,4391629404.0,0.03830611249819385
2020-02-26,5.01,5.04,4.67,4.69,114354216.0,495099688.0,4391629404.0,0.02603913160246251
2020-02-27,4.73,4.81,4.53,4.74,88751766.0,375728464.0,4391629404.0,0.02020930225104213
2020-02-28,4.7,5.22,4.7,5.22,227285934.0,1030951990.0,4391629404.0,0.05175435199358639
2020-03-02,5.18,5.61,5.01,5.37,203814675.0,978162221.0,4391629404.0,0.04640980744285043
2020-03-03,5.25,5.49,5.09,5.24,154314766.0,733397043.0,4391629404.0,0.03513838527892323
2020-03-04,5.25,5.39,5.15,5.23,105722582.0,503816008.0,4391629404.0,0.024073657468388698
2020-03-05,5.27,5.47,5.22,5.3,124045484.0,598862376.0,4391629404.0,0.028245890668055103
