date,open,high,low,close,volume
2017-03-16,0.923,0.955,0.923,0.932,1918360
2017-03-17,0.935,0.935,0.921,0.926,1407227
2017-03-20,0.923,0.925,0.921,0.925,869172
2017-03-21,0.927,0.927,0.912,0.925,863790
2017-03-22,0.922,0.924,0.916,0.923,944802
2017-03-23,0.923,0.925,0.923,0.924,835300
2017-03-24,0.92,0.924,0.92,0.924,811744
2017-03-27,0.923,0.924,0.923,0.923,892298
2017-03-28,0.923,0.923,0.92,0.92,468179
2017-03-29,0.92,0.92,0.918,0.918,823600
2017-03-30,0.918,0.919,0.914,0.918,958278
2017-03-31,0.915,0.918,0.915,0.918,148282
2017-04-05,0.916,0.919,0.916,0.919,262014
2017-04-06,0.917,0.924,0.917,0.923,716589
2017-04-07,0.923,0.928,0.923,0.928,386168
2017-04-10,0.924,0.928,0.924,0.926,658323
2017-04-11,0.924,0.93,0.923,0.928,643400
2017-04-12,0.928,0.93,0.928,0.928,116962
2017-04-13,0.926,0.928,0.926,0.928,335503
2017-04-14,0.925,0.978,0.925,0.928,130813
2017-04-17,0.924,0.927,0.923,0.927,206740
2017-04-18,0.922,0.924,0.922,0.924,140251
2017-04-19,0.918,0.918,0.915,0.918,343105
2017-04-20,0.918,0.918,0.915,0.917,789757
2017-04-21,0.915,0.924,0.901,0.912,2609062
2017-04-24,0.908,0.908,0.89,0.9,2137205
2017-04-25,0.89,0.898,0.89,0.895,217218
2017-04-26,0.903,0.903,0.893,0.898,545217
2017-04-27,0.891,0.904,0.891,0.899,88302
2017-04-28,0.89,0.904,0.89,0.904,260600
2017-05-02,0.893,0.912,0.893,0.91,47511
2017-05-03,0.907,0.908,0.9,0.905,488263
2017-05-04,0.902,0.905,0.901,0.905,64213
2017-05-05,0.9,0.903,0.9,0.903,160132
2017-05-08,0.895,0.9,0.895,0.895,196402
2017-05-09,0.895,0.899,0.89,0.899,2267717
2017-05-10,0.89,0.899,0.89,0.898,51301
2017-05-11,0.89,0.89,0.885,0.89,50101
2017-05-12,0.885,0.894,0.88,0.893,244370
2017-05-15,0.898,0.899,0.833,0.894,81600
2017-05-16,0.857,0.887,0.857,0.887,315297
2017-05-17,0.884,0.895,0.884,0.893,22300
2017-05-18,0.883,0.889,0.861,0.889,149974
2017-05-19,0.88,0.889,0.88,0.889,62201
2017-05-22,0.882,0.889,0.87,0.889,347
2017-05-23,0.857,0.88,0.857,0.864,986300
2017-05-24,0.85,0.86,0.833,0.859,536600
2017-05-25,0.842,0.86,0.839,0.86,287122
2017-05-26,0.843,0.856,0.843,0.856,54627
2017-05-31,0.862,0.862,0.838,0.858,30000
2017-06-01,0.838,0.855,0.838,0.855,30100
2017-06-02,0.85,0.85,0.85,0.85,4300
2017-06-05,0.835,0.849,0.835,0.849,100100
