date,open,high,low,close,volume,hold,settle
2024-03-18,3578.8,3603.8,3571.6,3603.4,1882,1780,0.0
2024-03-19,3597.0,3610.6,3574.0,3576.6,2252,2151,0.0
2024-03-20,3574.0,3591.0,3568.6,3579.8,1791,2357,0.0
2024-03-21,3593.2,3605.0,3575.2,3583.2,3048,3342,0.0
2024-03-22,3577.0,3578.0,3516.4,3533.8,4589,4784,0.0
2024-03-25,3532.8,3559.2,3517.6,3528.0,2700,4402,0.0
2024-03-26,3536.8,3549.0,3521.2,3538.8,2734,4985,0.0
2024-03-27,3534.8,3541.4,3499.0,3500.6,3027,5356,0.0
2024-03-28,3499.2,3554.6,3488.6,3517.2,4327,6449,0.0
2024-03-29,3512.0,3538.2,3512.0,3534.0,2807,6346,0.0
2024-04-01,3546.4,3606.8,3546.4,3596.8,4388,7856,0.0
2024-04-02,3596.0,3599.6,3572.6,3586.6,3156,8155,0.0
2024-04-03,3585.4,3585.4,3558.6,3570.8,3542,8956,0.0
2024-04-08,3558.2,3564.6,3529.8,3535.0,5039,10428,0.0
2024-04-09,3536.8,3543.4,3518.8,3532.4,4525,11455,0.0
2024-04-10,3529.4,3533.0,3485.2,3504.0,5924,12998,0.0
2024-04-11,3481.0,3521.4,3481.0,3502.8,6202,14472,0.0
2024-04-12,3507.6,3512.8,3460.0,3468.4,8221,17655,0.0
2024-04-15,3473.0,3554.8,3471.4,3540.0,16479,24218,0.0
2024-04-16,3529.4,3541.4,3495.8,3507.8,19283,29211,0.0
2024-04-17,3513.0,3569.6,3497.2,3563.0,30028,43805,0.0
2024-04-18,3552.0,3607.4,3551.2,3569.4,42543,59440,0.0
2024-04-19,3564.0,3568.4,3528.4,3542.0,48710,66670,0.0
2024-04-22,3544.8,3565.4,3527.2,3535.6,46887,67871,0.0
2024-04-23,3535.2,3541.2,3501.6,3509.6,46892,67729,0.0
2024-04-24,3519.0,3530.0,3497.4,3523.6,41586,65392,0.0
2024-04-25,3514.2,3549.8,3505.0,3533.4,48014,65563,0.0
2024-04-26,3544.4,3597.2,3543.8,3587.6,61866,68038,0.0
2024-04-29,3594.0,3656.4,3587.8,3631.6,59294,69344,0.0
2024-04-30,3638.4,3638.4,3608.2,3610.2,39056,62923,0.0
2024-05-06,3666.0,3678.8,3647.6,3656.2,47582,64765,0.0
2024-05-07,3656.0,3666.2,3648.2,3658.0,32715,58149,0.0
2024-05-08,3654.0,3654.0,3626.4,3628.6,33023,55972,0.0
