date,open,high,low,close,volume,hold,settle
2024-01-22,4754.0,4781.2,4365.6,4410.6,7441,6839,0.0
2024-01-23,4390.0,4649.8,4367.0,4599.4,9650,9917,0.0
2024-01-24,4634.2,4708.2,4462.2,4702.4,10619,13781,0.0
2024-01-25,4689.4,4889.2,4660.0,4885.0,11375,17342,0.0
2024-01-26,4879.6,4883.0,4761.0,4804.8,9687,20822,0.0
2024-01-29,4808.2,4838.0,4670.0,4687.8,9421,23416,0.0
2024-01-30,4667.4,4698.8,4524.2,4545.0,8749,25671,0.0
2024-01-31,4530.6,4569.4,4418.8,4432.2,10722,27786,0.0
2024-02-01,4417.2,4543.0,4365.6,4414.2,10288,29382,0.0
2024-02-02,4435.2,4485.0,4084.2,4278.0,13294,32128,0.0
2024-02-05,4247.4,4310.0,3942.8,4081.4,15180,33504,0.0
2024-02-06,4072.6,4613.0,4057.2,4613.0,18837,34769,0.0
2024-02-07,4617.2,5005.0,4617.2,4998.0,28621,38471,0.0
2024-02-08,5009.2,5334.6,4929.0,4947.2,32108,40142,0.0
2024-02-19,5035.0,5082.0,4842.0,4934.4,18183,41652,0.0
2024-02-20,4919.8,4966.6,4877.8,4945.0,10494,40342,0.0
2024-02-21,4930.0,5115.0,4908.0,4971.0,14078,40861,0.0
2024-02-22,4969.8,5038.2,4952.2,5016.0,10739,40588,0.0
2024-02-23,5030.0,5046.0,4946.6,5043.0,10378,41435,0.0
2024-02-26,5042.0,5099.0,4993.6,5021.6,10365,43003,0.0
2024-02-27,5010.0,5165.0,5000.0,5163.4,10331,44139,0.0
2024-02-28,5174.0,5238.2,5031.0,5031.0,14676,45410,0.0
2024-02-29,5022.0,5226.0,5022.0,5212.6,11383,45160,0.0
2024-03-01,5220.0,5266.8,5185.0,5259.6,11271,46779,0.0
2024-03-04,5265.0,5279.0,5188.0,5245.4,9402,46482,0.0
2024-03-05,5210.0,5242.0,5168.0,5191.2,9000,47455,0.0
2024-03-06,5174.8,5276.2,5150.0,5192.0,10043,48630,0.0
2024-03-07,5188.6,5233.0,5123.8,5128.8,8618,48912,0.0
2024-03-08,5144.4,5218.8,5114.0,5200.0,8038,49665,0.0
2024-03-11,5196.4,5313.0,5188.8,5311.4,7948,50633,0.0
2024-03-12,5320.0,5343.2,5247.0,5282.4,9630,52407,0.0
2024-03-13,5287.2,5328.4,5247.0,5276.0,7190,52033,0.0
2024-03-14,5275.2,5315.0,5217.0,5256.4,8042,53019,0.0
2024-03-15,5240.0,5333.4,5216.2,5328.2,7165,53313,0.0
2024-03-18,5339.0,5419.8,5329.6,5417.0,6482,53461,0.0
2024-03-19,5397.8,5412.0,5348.0,5354.2,6485,54065,0.0
2024-03-20,5355.0,5385.0,5336.4,5368.8,6053,53795,0.0
2024-03-21,5385.0,5395.0,5332.2,5341.2,6510,54355,0.0
2024-03-22,5331.0,5342.4,5224.6,5242.0,9409,55700,0.0
2024-03-25,5240.0,5265.4,5156.8,5175.0,8975,56169,0.0
2024-03-26,5168.0,5196.8,5118.0,5142.2,8932,56990,0.0
2024-03-27,5130.8,5146.2,5022.6,5027.2,8314,57314,0.0
2024-03-28,5023.2,5151.6,5023.2,5085.6,9963,57522,0.0
2024-03-29,5094.6,5165.8,5068.6,5158.8,7725,57720,0.0
2024-04-01,5178.2,5289.8,5178.2,5282.6,8269,57918,0.0
2024-04-02,5281.2,5286.0,5229.6,5263.2,6292,57960,0.0
2024-04-03,5250.2,5261.4,5223.4,5253.8,6682,58206,0.0
2024-04-08,5239.0,5254.4,5156.2,5164.2,8412,58722,0.0
2024-04-09,5164.2,5213.6,5159.2,5208.0,7466,59043,0.0
2024-04-10,5209.2,5209.2,5101.0,5147.2,8095,59336,0.0
2024-04-11,5121.4,5235.8,5109.8,5179.6,8733,60548,0.0
2024-04-12,5181.0,5216.8,5133.8,5140.0,7170,60656,0.0
2024-04-15,5137.4,5247.6,5087.8,5209.8,11273,62378,0.0
2024-04-16,5187.4,5225.0,5051.2,5071.2,12632,63316,0.0
2024-04-17,5095.0,5232.0,5093.0,5227.0,12834,64115,0.0
2024-04-18,5218.6,5311.4,5187.0,5250.0,12694,65752,0.0
2024-04-19,5248.0,5273.0,5186.0,5201.2,13041,69461,0.0
2024-04-22,5201.0,5245.2,5158.0,5163.6,12405,71051,0.0
2024-04-23,5163.6,5195.0,5089.4,5095.2,11977,71578,0.0
2024-04-24,5115.2,5159.0,5075.8,5155.4,8617,69991,0.0
2024-04-25,5138.0,5200.0,5119.4,5161.8,10813,70318,0.0
2024-04-26,5170.2,5312.6,5170.2,5295.8,12647,70483,0.0
2024-04-29,5317.6,5450.2,5313.4,5422.0,18614,73839,0.0
2024-04-30,5425.6,5442.0,5371.4,5373.8,11415,71426,0.0
2024-05-06,5450.0,5484.0,5427.4,5448.4,11896,71151,0.0
2024-05-07,5455.4,5466.8,5421.2,5441.6,8917,69105,0.0
2024-05-08,5430.0,5431.6,5358.0,5366.0,9322,69158,0.0
